,FULL_CU_IN,LAT_C,LONG_C,CU_NAME,SP_QUAL,CU_TYPE,Shape_Leng,Shape_Area,species
23,CK-32,49.9104927,-126.850068,West Vancouver Island-Nootka & Kyuquot_FA_0.x,CK,Current,27.09843391,0.6617495,Chinook
24,CK-33,50.46421185,-127.7077477,West Vancouver Island-North_FA_0.x,CK,Current,14.9491035,0.391707998,Chinook
25,CK-34,50.9338498,-124.8615544,Homathko_SU_x.x,CK,Current,5.841204492,0.746883162,Chinook
26,CK-35,51.09645917,-125.6235813,Klinaklini_SU_1.3,CK,Current,6.732481511,0.764465137,Chinook
27,CK-36,51.23292088,-127.3386768,Docee,CK,Current,0.029038793,1.57E-05,Chinook
28,CK-37,51.71626722,-126.9571003,Rivers Inlet,CK,Current,16.90203251,0.965091238,Chinook
29,CK-38,51.6791075,-127.2505923,Wannock,CK,Current,0.323908074,0.0045636,Chinook
30,CK-39,52.30788509,-126.5242928,Bella Coola-Bentinck,CK,Current,10.02848282,1.101334341,Chinook
31,CK-4,50.30420169,-122.6639259,Lower Fraser River_SP_1.3,CK,Current,4.507505285,0.259641786,Chinook
32,CK-40,52.80523156,-126.9686245,Dean River,CK,Current,10.09815473,1.039606267,Chinook
33,CK-41,53.05571016,-128.7072331,North & Central Coast-Late Timing,CK,Current,127.0163206,2.052903479,Chinook
34,CK-42,53.44519538,-128.4789797,North & Central Coast-Early Timing,CK,Current,52.55810878,2.210903301,Chinook
35,CK-43,53.80095431,-132.4392341,Haida Gwaii-North,CK,Current,13.4304159,0.493271834,Chinook
36,CK-44,53.03991741,-132.0028063,Haida Gwaii-East,CK,Current,28.40447682,0.453069276,Chinook
37,CK-45,54.30275842,-130.2086429,Skeena Estuary,CK,Current,26.80431547,0.230912357,Chinook
38,CK-46,53.96689731,-129.6684218,Ecstall,CK,Current,2.799779392,0.203315573,Chinook
39,CK-48,54.41088846,-129.0102051,Lower Skeena,CK,Current,9.321542602,0.90098368,Chinook
40,CK-49,54.82886078,-128.8168523,Kalum-Early Timing,CK,Current,3.927798866,0.214324469,Chinook
41,CK-5,49.56670909,-122.6329229,Lower Fraser River-Upper Pitt_SU_1.3,CK,Current,2.308730117,0.05349161,Chinook
42,CK-50,54.63847737,-128.7112354,Kalum-Late Timing,CK,Current,2.375115046,0.105564529,Chinook
43,CK-51,54.418924,-128.6350933,Lakelse,CK,Current,2.156829575,0.080582465,Chinook
44,CK-53,55.06882605,-126.7008437,Middle Skeena-Large Lakes,CK,Current,23.42300026,2.247440231,Chinook
45,CK-54,55.50158979,-127.9205534,Middle Skeena-Mainstem Tributaries,CK,Current,16.13083103,1.794395432,Chinook
46,CK-55,54.4219461,-126.459488,Upper Bulkley River,CK,Current,4.487995291,0.320129309,Chinook
47,CK-56,56.5408298,-127.3364125,Upper Skeena,CK,Current,11.78623073,1.270870124,Chinook
48,CK-57,54.96021142,-129.8927722,Portland Sound-Observatory Inlet-Lower Nass,CK,Current,19.4688857,1.20286382,Chinook
49,CK-58,55.87952623,-129.0767644,Upper Nass,CK,Current,16.39370076,2.747411947,Chinook
50,CK-6,49.70080351,-122.1246241,Lower Fraser River_SU_1.3,CK,Current,11.4027987,0.741721596,Chinook
51,CK-60,57.86865013,-131.3363537,Stikine-Early Timing,CK,Current,10.52436952,1.990797774,Chinook
52,CK-61,56.69078163,-131.8160172,Stikine-Late Timing,CK,Current,9.903561278,1.422138386,Chinook
53,CK-63,58.81223066,-132.0289215,Taku-Early Timing,CK,Current,6.300391998,0.60416345,Chinook
54,CK-64,58.90428766,-133.1458912,Taku-Mid Timing,CK,Current,7.046712078,0.611355138,Chinook
55,CK-65,58.53788595,-132.4690964,Taku-Late Timing,CK,Current,10.50639913,1.345114992,Chinook
56,CK-67,59.90763223,-137.1115859,Alsek,CK,Current,8.371149902,1.115785273,Chinook
57,CK-68,60.17238862,-132.4912284,Yukon River-Teslin Headwaters,CK,Current,25.87330139,5.761206083,Chinook
58,CK-69,60.87396416,-134.8946011,Upper Yukon River,CK,Current,20.30989934,5.189662681,Chinook
59,CK-7,49.23413633,-121.730548,Maria Slough_SU_0.3,CK,VREQ[Current],0.426635966,0.006567096,Chinook
60,CK-71,62.10210632,-136.3016896,Nordenskiold,CK,Current,7.879017499,1.097004584,Chinook
61,CK-72,62.64835354,-133.5919603,Pelly,CK,Current,28.95679985,8.757317725,Chinook
62,CK-73,62.07324703,-135.6384082,Middle Yukon River and Tributaries,CK,Current,20.68850131,3.224926107,Chinook
63,CK-74,63.41896572,-134.9717411,Stewart,CK,Current,30.85114353,9.258825624,Chinook
64,CK-75,62.1756034,-139.5155697,White and Tributaries,CK,Current,19.03640344,6.640858723,Chinook
65,CK-76,64.40251226,-140.2267253,Northern Yukon River and Tributaries,CK,Current,16.73667082,5.543120555,Chinook
66,CK-78,66.50609861,-138.4168674,Porcupine,CK,Current,20.82808585,9.25264723,Chinook
67,CK-8,49.90947298,-121.4726781,Middle Fraser-Fraser Canyon_SP_1.3,CK,Current,3.98794672,0.21473255,Chinook
68,CK-80,54.46202571,-128.0754165,Zymoetz,CK,Current,6.230194922,0.419827415,Chinook
69,CK-81,56.04196906,-127.9587637,Sicintine,CK,Current,2.297791983,0.117304473,Chinook
70,CK-82,51.40895048,-119.4585855,Upper Adams River_SU_x.x,CK,Current,4.032687508,0.197795655,Chinook
71,CK-83,49.41714681,-124.4453821,East Vancouver Island-Georgia Strait_SU_0.3,CK,Current,3.500146042,0.140401632,Chinook
72,CK-9,50.70835135,-122.2693889,Middle Fraser River-Portage_FA_1.3,CK,Current,2.42586803,0.122581111,Chinook
73,CK-9005,48.65576181,-123.5595498,South-Miscellaneous<<Bin>>,CK,Bin,0.749531653,0.01344399,Chinook
74,CK-9008,49.12641335,-122.0983535,Fraser-Harrison Fall Transplant_FA_0.3<<Bin>>,CK,Bin,2.568339833,0.10143151,Chinook
75,CK-62,NA,NA,Whiting,CK,Current,2.78874937,0.26017264,Chinook
76,CK-59,NA,NA,Unuk,CK,Current,3.211702761,0.230713382,Chinook
77,CK-70,NA,NA,Big Salmon,CK,Current,6.408756834,1.152534164,Chinook
78,CK-79,NA,NA,Old Crow,CK,Current,9.829240364,2.623865892,Chinook
79,CK-77,NA,NA,Salmon Fork,CK,Current,6.033650573,0.790056716,Chinook
80,CK-66,NA,NA,Lynn Canal,CK,Current,4.081117327,0.266130497,Chinook
81,CM-10,49.420677,-126.0103906,Southwest Vancouver Island,CM,Current,55.39202803,1.768020995,Chum
82,CM-11,50.4997961,-127.7872309,Northwest Vancouver Island,CM,Current,15.00491616,0.364828804,Chum
83,CM-12,51.38871613,-127.3285144,Smith Inlet,CM,Current,12.109081,0.277583206,Chum
84,CM-13,51.74227876,-127.1139315,Rivers Inlet,CM,Current,8.390154503,0.709418659,Chum
85,CM-14,51.6791075,-127.2505923,Wannock,CM,Current,0.323908074,0.0045636,Chum
86,CM-15,52.20232062,-127.9005206,Spiller-Fitz Hugh-Burke,CM,Current,47.62590825,0.76909868,Chum
87,CM-16,52.42105508,-126.8081583,Bella Coola-Dean Rivers,CM,Current,17.78929617,2.442219376,Chum
88,CM-17,52.38243638,-126.6632777,Bella Coola River-Late,CM,Current,2.527133598,0.034436668,Chum
89,CM-18,53.01044976,-129.1772996,Hecate Lowlands,CM,Current,85.62536875,1.058130618,Chum
90,CM-19,52.84271812,-128.166321,Mussel-Kynoch,CM,Current,6.201652962,0.191969594,Chum
91,CM-2,49.23214128,-122.1215512,Lower Fraser,CM,Current,13.99881668,1.791203563,Chum
92,CM-20,53.6888683,-128.685692,Douglas-Gardner,CM,Current,23.74448106,1.857689665,Chum
93,CM-21,52.62198378,-131.5688378,East HG,CM,Current,25.45107024,0.402046042,Chum
94,CM-22,53.17777266,-132.2519242,Skidegate,CM,Current,5.884798848,0.063841833,Chum
95,CM-23,53.04451726,-132.2414084,West Haida Gwaii,CM,Current,30.84908443,0.398070149,Chum
96,CM-24,53.79082961,-132.4152457,North Haida Gwaii,CM,Current,13.74218404,0.490345786,Chum
97,CM-25,53.97461169,-132.6914208,North Haida Gwaii-Stanley Creek,CM,Current,0.341505678,0.002926049,Chum
98,CM-26,54.17752397,-130.3912825,Skeena Estuary,CM,Current,33.71998581,0.279772204,Chum
99,CM-27,54.37369885,-129.023456,Lower Skeena,CM,Current,12.65796215,1.941661316,Chum
100,CM-28,55.36434239,-127.7516087,Middle Skeena,CM,Current,24.34428756,3.894861981,Chum
101,CM-3,49.62607071,-123.2213908,Howe Sound-Burrard Inlet,CM,Current,13.42049247,0.7094685,Chum
102,CM-30,54.66621953,-130.1808615,Portland Inlet,CM,Current,11.28739548,0.333515422,Chum
103,CM-31,55.12389523,-129.3928742,Lower Nass,CM,Current,5.382951083,0.469194609,Chum
104,CM-32,55.46086847,-129.8201563,Portland Canal-Observatory,CM,Current,10.32441972,0.616016806,Chum
105,CM-38,61.57244416,-134.900263,Teslin,CM,Current,27.63751138,8.624696779,Chum
106,CM-4,49.49708305,-124.2722722,Georgia Strait,CM,Current,65.39111843,2.530037649,Chum
107,CM-42,63.17821434,-139.5738129,Middle Yukon River,CM,Current,26.09149797,5.474464854,Chum
108,CM-43,64.40251226,-140.2267253,North Yukon River,CM,Current,16.73666684,5.543139246,Chum
109,CM-44,62.6033638,-139.9886763,White River,CM,Current,19.72220536,4.509536661,Chum
110,CM-45,61.95517056,-140.0812803,Donjek-Kluane,CM,Current,9.618497699,2.131341641,Chum
111,CM-46,66.4785404,-138.5023914,Porcupine River,CM,Current,18.74299728,10.04270395,Chum
112,CM-5,50.57786581,-126.8725271,Northeast Vancouver Island,CM,Current,15.89385688,0.86127872,Chum
113,CM-6,50.47997181,-125.6596625,Loughborough,CM,Current,21.90518468,0.495603026,Chum
114,CM-7,50.82383295,-124.8348532,Bute Inlet,CM,Current,10.55689908,1.132327814,Chum
115,CM-8,50.94861084,-126.725836,Southern Coastal Streams,CM,Current,40.10676167,0.860084803,Chum
116,CM-9,50.95993661,-125.6281145,Upper Knight,CM,Current,10.49153241,0.99145261,Chum
117,CM-40,NA,NA,Peel River,CM,Current,6.560031888,0.403296398,Chum
118,CM-39,NA,NA,Lower Liard,CM,VREQ[Current],17.99624202,0.220379793,Chum
119,CM-34,NA,NA,Lower Stikine,CM,Current,15.43699311,3.412755466,Chum
120,CM-33,NA,NA,Unuk,CM,Current,3.837345305,0.259843721,Chum
121,CM-35,NA,NA,Whiting,CM,Current,2.897387287,0.267128092,Chum
122,CM-48,NA,NA,Stewart<<vreq[current]>>,CM,VREQ[Current],30.85114353,9.258825624,Chum
123,CM-37,NA,NA,Lynn Canal,CM,Current,3.891652581,0.25066092,Chum
124,CM-36,NA,NA,Taku,CM,Current,12.50162684,2.591111961,Chum
125,CO-1,49.06364732,-122.785453,Boundary Bay,CO,VREQ[Current],2.9146384,0.074338741,Coho
126,CO-10,49.6258992,-123.2347005,Howe Sound-Burrard Inlet,CO,Current,13.69186326,0.732399911,Coho
127,CO-11,49.94619401,-124.3163334,Georgia Strait Mainland,CO,Current,31.78081356,1.232663549,Coho
128,CO-12,50.80105129,-126.3161464,Southern Coastal Streams-Queen Charlotte Strait-Johnstone Strait-Southern Fjords,CO,Current,74.20505543,1.987373466,Coho
129,CO-13,49.21894098,-124.3401577,East Vancouver Island-Georgia Strait,CO,Current,30.62890147,1.234169977,Coho
130,CO-14,50.4720015,-126.5062243,East Vancouver Island-Johnstone Strait-Southern Fjords,CO,Current,7.057039598,0.680529815,Coho
131,CO-15,50.54417561,-127.7673333,Nahwitti Lowland,CO,Current,15.69498387,0.517453799,Coho
132,CO-16,48.72276135,-124.6692876,Juan De Fuca-Pachena,CO,Current,5.977684372,0.388291188,Coho
133,CO-17,49.58052426,-126.2213647,West Vancouver Island,CO,Current,40.02691574,1.033255619,Coho
134,CO-18,49.28100767,-125.8892474,Clayoquot,CO,Current,15.32891112,0.321353228,Coho
135,CO-19,51.01515449,-125.2425679,Homathko-Klinaklini Rivers,CO,Current,9.776246807,1.511348299,Coho
136,CO-20,51.33809415,-127.3643015,Smith Inlet,CO,Current,11.16557604,0.216486662,Coho
137,CO-21,51.69664983,-127.1033362,Rivers Inlet,CO,Current,12.09567341,0.778742889,Coho
138,CO-22,52.3570493,-126.5859142,Bella Coola-Dean Rivers,CO,Current,13.49992576,2.140940607,Coho
139,CO-23,52.76569767,-131.7151009,HG-East,CO,Current,25.27630734,0.307662691,Coho
140,CO-24,53.08282406,-132.29063,HG-West,CO,Current,31.36019322,0.410888748,Coho
141,CO-25,53.6221913,-132.2013231,HG-Graham Island Lowlands,CO,Current,13.41041776,0.638678217,Coho
142,CO-26,52.82990461,-128.1395996,Mussel-Kynoch,CO,Current,5.76753688,0.18708842,Coho
143,CO-27,52.87795758,-129.0197393,Hecate Strait Mainland,CO,Current,131.1267328,1.564808742,Coho
144,CO-29,54.07152028,-128.687929,Douglas Channel-Kitimat Arm,CO,Current,6.536905245,0.464429411,Coho
145,CO-30,53.13054581,-128.4150711,Northern Coastal Streams,CO,Current,29.51885253,2.019732605,Coho
146,CO-31,54.25188094,-130.3942232,Skeena Estuary,CO,Current,26.32624294,0.213650165,Coho
147,CO-32,54.45879722,-128.8317903,Lower Skeena,CO,Current,12.65796215,1.941661316,Coho
148,CO-33,55.13666736,-127.3206725,Middle Skeena,CO,Current,24.34276811,3.8948628,Coho
149,CO-34,56.50083076,-127.5240118,Upper Skeena,CO,Current,15.81301369,1.838213583,Coho
150,CO-35,55.11840388,-129.4026234,Lower Nass,CO,Current,5.551336523,0.481713997,Coho
151,CO-36,56.0029051,-129.0403931,Upper Nass,CO,Current,16.26813072,2.585600177,Coho
152,CO-37,55.00761901,-130.0266282,Portland Sound-Observatory Inlet-Portland Canal,CO,Current,21.78020064,0.937012839,Coho
153,CO-39,56.87064845,-131.5568234,Lower Stikine,CO,Current,15.43699311,3.412755466,Coho
154,CO-4,50.28657927,-122.7220427,Lillooet,CO,Current,7.914284849,0.774098918,Coho
155,CO-41,58.56139177,-132.531971,Taku-Late Timing,CO,Current,4.56844307,0.338297134,Coho
156,CO-45,60.11586335,-137.0362158,Alsek River,CO,Current,8.388762569,1.116016173,Coho
157,CO-47,49.20514706,-122.087126,Lower Fraser,CO,Current,9.350222114,1.017027553,Coho
158,CO-48,51.90301992,-122.1098932,Interior Fraser,CO,Current,59.29104325,20.95317541,Coho
159,CO-5,49.46998904,-121.5024216,Fraser Canyon,CO,Current,7.156079188,0.642484841,Coho
160,CO-7,50.37060311,-120.9019416,Lower Thompson,CO,Current,13.40657714,2.248133464,Coho
161,CO-8,50.83976337,-119.0411603,South Thompson,CO,Current,14.48464897,2.23187339,Coho
162,CO-9,51.69531558,-119.6962551,North Thompson,CO,Current,16.18298563,2.700274651,Coho
163,CO-43,NA,NA,Taku-Early Timing,CO,Current,6.299851645,0.604170505,Coho
164,CO-42,NA,NA,Taku-Mid Timing,CO,Current,12.55783975,1.346109905,Coho
165,CO-38,NA,NA,Unuk River,CO,Current,3.837345305,0.259843721,Coho
166,CO-40,NA,NA,Whiting River,CO,Current,2.897387287,0.267128092,Coho
167,CO-46,NA,NA,Porcupine,CO,Current,20.14086511,12.66656984,Coho
168,CO-44,NA,NA,Lynn Canal,CO,Current,4.081117319,0.266130497,Coho
169,PKE-1,49.72123541,-124.4252946,Georgia Strait,PKE,Current,68.94073795,3.171782439,Even_Year_Pink
170,PKE-10,52.81136784,-131.7508424,East Haida Gwaii,PKE,Current,28.40447682,0.453069276,Even_Year_Pink
171,PKE-11,53.10466868,-132.3165413,West Haida Gwaii,PKE,Current,31.36019322,0.410888748,Even_Year_Pink
172,PKE-12,55.63930461,-128.9219032,Upper Nass,PKE,Current,16.26813072,2.585600177,Even_Year_Pink
173,PKE-13,58.90428766,-133.1458912,Transboundary Fjords,PKE,Current,26.74608114,6.78150016,Even_Year_Pink
174,PKE-2,49.6405906,-126.3728481,West Vancouver Island,PKE,Current,55.00363451,1.742900035,Even_Year_Pink
175,PKE-3,50.49905018,-127.7957455,Northwest Vancouver Island,PKE,Current,15.00491616,0.364828804,Even_Year_Pink
176,PKE-4,50.70413652,-126.2269478,Southern Fjords,PKE,Current,88.20912784,4.359328071,Even_Year_Pink
177,PKE-5,52.74665447,-128.8628515,Hecate Lowlands,PKE,Current,133.9553861,1.560113521,Even_Year_Pink
178,PKE-6,52.82348791,-127.9363514,Hecate Strait-Fjords,PKE,Current,51.65772202,5.745996614,Even_Year_Pink
179,PKE-7,54.60461433,-129.6609133,Nass-Skeena Estuary,PKE,Current,60.5896814,3.640160357,Even_Year_Pink
180,PKE-8,55.22014172,-127.3301749,Middle-Upper Skeena,PKE,Current,32.13100662,5.730043797,Even_Year_Pink
181,PKE-9,53.80301996,-132.4354323,North Haida Gwaii,PKE,Current,13.4304159,0.493271834,Even_Year_Pink
182,PKE-9005,50.55208399,-122.4724809,Fraser River<<bin>>,PKE,Bin,1.119144852,0.04057881,Even_Year_Pink
183,PKO-1,49.91356528,-121.6502977,Fraser River,PKO,Current,64.90629924,26.87651624,Odd_Year_Pink
184,PKO-10,53.84142602,-132.4458586,North Haida Gwaii,PKO,Current,13.4304159,0.493271834,Odd_Year_Pink
185,PKO-11,53.18549756,-132.4171335,West Haida Gwaii,PKO,Current,31.36019322,0.410888748,Odd_Year_Pink
186,PKO-12,52.73437443,-128.8507061,Hecate Strait-Lowlands,PKO,Current,133.9553861,1.560113521,Odd_Year_Pink
187,PKO-13,53.18837124,-128.3552846,Hecate Strait-Fjords,PKO,Current,35.44890422,2.738732261,Odd_Year_Pink
188,PKO-14,54.13982027,-130.3890009,Nass-Skeena Estuary,PKO,Current,33.71998581,0.279772204,Odd_Year_Pink
189,PKO-15,54.38273796,-128.9864856,Lower Skeena,PKO,Current,12.65796214,1.941661316,Odd_Year_Pink
190,PKO-16,55.17181445,-127.1851106,Middle & Upper Skeena,PKO,Current,32.13100662,5.730043797,Odd_Year_Pink
191,PKO-17,55.05432378,-129.7903265,Nass-Portland-Observatory,PKO,Current,23.42979849,1.418726837,Odd_Year_Pink
192,PKO-18,55.6111422,-128.9326984,Upper Nass,PKO,Current,16.26813072,2.585600177,Odd_Year_Pink
193,PKO-19,58.90428766,-133.1458912,Transboundary Fjords,PKO,Current,26.74608115,6.78150016,Odd_Year_Pink
194,PKO-2,49.55778214,-123.0867751,East Howe Sound-Burrard Inlet,PKO,Current,8.208116528,0.341560974,Odd_Year_Pink
195,PKO-3,49.76436123,-124.301851,Georgia Strait,PKO,Current,62.92597054,2.830221464,Odd_Year_Pink
196,PKO-4,50.45881639,-126.3807014,East Vancouver Island-Johnstone Strait,PKO,Current,6.93315891,0.679601682,Odd_Year_Pink
197,PKO-5,50.57733663,-127.7238493,Nahwitti,PKO,Current,19.51728117,0.543671411,Odd_Year_Pink
198,PKO-6,49.55964663,-126.2053424,West Vancouver Island,PKO,Current,55.00363451,1.742900035,Odd_Year_Pink
199,PKO-7,50.64036904,-125.7919737,Southern Fjords,PKO,Current,42.86064494,1.294285404,Odd_Year_Pink
200,PKO-8,51.70602033,-126.8006442,Homathko-Klinaklini-Smith-Rivers-Bella Coola-Dean,PKO,Current,50.17669502,5.213862627,Odd_Year_Pink
201,PKO-9,52.89282366,-131.8244683,East Haida Gwaii,PKO,Current,28.40447682,0.453069276,Odd_Year_Pink
202,SEL-01-01,49.07597717,-119.517786,Osoyoos,SEL,Current,1.642934839,0.023303297,Lake_Type_Sockeye
203,SEL-03-01,49.0425482,-121.4222044,Chilliwack-Early Summer Timing,SEL,Current,0.705061085,0.007099785,Lake_Type_Sockeye
204,SEL-03-02,49.07507039,-121.9817234,Cultus-Late Timing,SEL,Current,0.538957155,0.010076482,Lake_Type_Sockeye
205,SEL-03-03,49.599639,-121.9697063,Harrison-Downstream Migrating-Late Timing,SEL,Current,3.484298752,0.080070232,Lake_Type_Sockeye
206,SEL-03-04,49.29527073,-121.9983423,Harrison-Upstream Migrating-Late Timing,SEL,Current,0.429941628,0.005588049,Lake_Type_Sockeye
207,SEL-03-05,49.56590374,-122.6280173,Pitt-Early Summer Timing,SEL,Current,2.743660115,0.045081888,Lake_Type_Sockeye
208,SEL-04-01,50.4088561,-122.8240776,Lillooet/Harrison-Late Timing,SEL,Current,5.049050582,0.0727264,Lake_Type_Sockeye
209,SEL-05-02,49.99077739,-121.6157857,Nahatlatch-Early Summer Timing,SEL,Current,1.603716472,0.028878019,Lake_Type_Sockeye
210,SEL-06-01,50.5640753,-122.4586797,Anderson/Seton-Early Summer Timing,SEL,Current,2.854661553,0.03177623,Lake_Type_Sockeye
211,SEL-06-02,51.10225386,-124.0318793,Chilko-Early Summer Timing,SEL,Current,1.283581126,0.01753577,Lake_Type_Sockeye
212,SEL-06-03,51.77214797,-123.9201774,Chilko-Summer Timing,SEL,Current,3.367585658,0.076961419,Lake_Type_Sockeye
213,SEL-06-07,54.00485351,-125.0827251,Francois/Fraser-Summer Timing,SEL,Current,6.374459689,0.107486909,Lake_Type_Sockeye
214,SEL-06-10,52.60122406,-120.902313,Quesnel-Summer Timing,SEL,Current,10.27011903,0.188446451,Lake_Type_Sockeye
215,SEL-06-11,50.70835135,-122.2693889,Seton-Late Timing,SEL,Bin,1.330704034,0.012526629,Lake_Type_Sockeye
216,SEL-06-13,54.74686859,-124.9267355,Takla/Trembleur/Stuart-Summer Timing,SEL,Current,16.6911932,0.455463213,Lake_Type_Sockeye
217,SEL-06-14,55.28729803,-125.8257613,Takla/Trembleur-Early Stuart Timing,SEL,Current,12.63463056,0.310182634,Lake_Type_Sockeye
218,SEL-06-16,51.47475507,-123.6610486,Taseko-Early Summer Timing,SEL,Current,3.832776739,0.05770887,Lake_Type_Sockeye
219,SEL-06-20,53.95283363,-126.6548928,Nadina/Francois-Early Summer Timing,SEL,VREQ[Bin],7.387299527,0.103484849,Lake_Type_Sockeye
220,SEL-07-01,53.42021092,-121.4392945,Bowron-Early Summer Timing,SEL,Current,1.197500361,0.016674315,Lake_Type_Sockeye
221,SEL-09-02,50.99932505,-119.1004285,Shuswap Complex-Early Summer Timing,SEL,Current,17.29401601,0.420363517,Lake_Type_Sockeye
222,SEL-09-03,50.90416104,-119.2087852,Shuswap Complex-Late Timing,SEL,Current,17.29401601,0.420363517,Lake_Type_Sockeye
223,SEL-09-xx,51.37346985,-119.3984807,(p)Adams and Momich Lakes-Early Summer Timing,SEL,Bin,4.299275473,0.107285779,Lake_Type_Sockeye
224,SEL-10-01,51.55605622,-119.964697,Kamloops-Early Summer Timing,SEL,Current,12.2522656,0.166982394,Lake_Type_Sockeye
225,SEL-10-03,51.3365682,-119.8000361,North Barriere-Early Summer Timing,SEL,Bin,1.738777278,0.024060173,Lake_Type_Sockeye
226,SEL-11-01,50.56122211,-125.9381469,Fulmore,SEL,Current,0.844399455,0.012706589,Lake_Type_Sockeye
227,SEL-11-02,50.57709558,-125.5753906,Heydon,SEL,Current,0.519089684,0.008217503,Lake_Type_Sockeye
228,SEL-11-03,50.80668948,-126.024264,Kakweiken,SEL,Current,0.677214895,0.006585014,Lake_Type_Sockeye
229,SEL-11-04,50.76690413,-126.4594872,Loose,SEL,Current,0.422793124,0.002783979,Lake_Type_Sockeye
230,SEL-11-05,50.93399663,-126.6354684,Mackenzie,SEL,Current,0.450848595,0.005739293,Lake_Type_Sockeye
231,SEL-11-06,50.5684244,-125.365434,Phillips,SEL,Current,1.315708917,0.013978343,Lake_Type_Sockeye
232,SEL-11-07,49.65184814,-124.0683068,Sakinaw,SEL,Current,0.536115615,0.008611127,Lake_Type_Sockeye
233,SEL-11-09,49.78782449,-123.7235744,Tzoonie,SEL,Current,0.334568185,0.003255631,Lake_Type_Sockeye
234,SEL-11-10,50.16525129,-125.1877836,Village Bay,SEL,VREQ[Extirpated],0.592348944,0.009005647,Lake_Type_Sockeye
235,SEL-12-01,50.53153385,-126.8716271,Ida/Bonanza,SEL,Current,0.623354355,0.013168949,Lake_Type_Sockeye
236,SEL-12-02,50.85870705,-128.008083,Nahwitti,SEL,Current,1.272187973,0.008803485,Lake_Type_Sockeye
237,SEL-12-03,50.56666735,-126.9820221,Nimpkish,SEL,Current,2.191857372,0.033644948,Lake_Type_Sockeye
238,SEL-12-05,50.6999019,-127.4801357,Quatse,SEL,Current,0.72990783,0.009120747,Lake_Type_Sockeye
239,SEL-12-07,50.84665257,-127.8682801,Shushartie,SEL,Current,0.824406841,0.009548407,Lake_Type_Sockeye
240,SEL-13-01,50.53374517,-127.5095505,Alice,SEL,Current,1.131259868,0.010202252,Lake_Type_Sockeye
241,SEL-13-02,50.23086004,-127.7595199,Canoe Creek,SEL,Current,0.333437803,0.001760911,Lake_Type_Sockeye
242,SEL-13-03,49.42807324,-126.2158204,Cecilia,SEL,Current,0.307375981,0.002223689,Lake_Type_Sockeye
243,SEL-13-04,48.66296674,-124.8106922,Cheewat,SEL,Current,0.291976798,0.003355096,Lake_Type_Sockeye
244,SEL-13-05,49.19231967,-125.525133,Clayoquot,SEL,Current,0.527537066,0.009572357,Lake_Type_Sockeye
