NOM_SITE,NOM_GAZ,ID_CARAC_G,Y_LAT,X_LONG,TYPE_DE_CA,CDE_BA_20K,CDE_BA_50K,NOM_UC,INDICE_UC,SP_QUAL,TYPE_UC,ID_POP,ACRO_ZAEA,ACRO_ZAM,ACRO_ZAJ
AMERICAN CREEK,AMERICAN CREEK,118,49.43293747970,-121.43624922400,Stream,100-117583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-119000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER CANYON,CO-5,CO,Current,47140,FRCany,GStr,FRCany+GStr
ANDERSON CREEK CHANNEL,ANDERSON CREEK,2529,49.20592403730,-121.74193887400,Artificial Channel,100-088370-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-089400-00000-00000-0000-0000-000-000-000-000-000-000,FRASER CANYON,CO-5,CO,Current,44607,LFR,GStr,LFR+GStr
ANDERSON RIVER,ANDERSON RIVER,124,49.84180665180,-121.43516524100,Stream,100-156509-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-158000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER CANYON,CO-5,CO,Current,47153,FRCany,GStr,FRCany+GStr
COQUIHALLA RIVER,COQUIHALLA RIVER,112,49.39352781540,-121.43919363800,Stream,100-113848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-115400-00000-00000-0000-0000-000-000-000-000-000-000,FRASER CANYON,CO-5,CO,Current,47122,FRCany,GStr,FRCany+GStr
HUNTER CREEK,HUNTER CREEK,110,49.35828040610,-121.57443497800,Stream,100-104902-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-106400-00000-00000-0000-0000-000-000-000-000-000-000,FRASER CANYON,CO-5,CO,Current,47114,FRCany,GStr,FRCany+GStr
NAHATLATCH RIVER,NAHATLATCH RIVER,125,49.97713929860,-121.51019095700,Stream,100-168517-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-170100-00000-00000-0000-0000-000-000-000-000-000-000,FRASER CANYON,CO-5,CO,Current,47159,FRCany,GStr,FRCany+GStr
RUBY CREEK,RUBY CREEK,109,49.35244820810,-121.60667731200,Stream,100-103301-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-104700-00000-00000-0000-0000-000-000-000-000-000-000,FRASER CANYON,CO-5,CO,Current,47111,FRCany,GStr,FRCany+GStr
SILVERHOPE CREEK,SILVERHOPE CREEK,111,49.37059555550,-121.46289904200,Stream,100-111269-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-112900-00000-00000-0000-0000-000-000-000-000-000-000,FRASER CANYON,CO-5,CO,Current,47118,FRCany,GStr,FRCany+GStr
STEVEN CREEK,,115,49.38443274020,-121.39301827300,Stream,,,FRASER CANYON,CO-5,CO,Current,2422,FRCany,GStr,FRCany+GStr
SUCKER CREEK,SUCKER CREEK,113,49.38279819250,-121.42444824500,Stream,100-113848-030843-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-115400-03100-00000-0000-0000-000-000-000-000-000-000,FRASER CANYON,CO-5,CO,Current,47127,FRCany,GStr,FRCany+GStr
BONAPARTE RIVER,BONAPARTE RIVER,216,50.73921385690,-121.25884604300,Stream,100-190442-506118-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-506800-00000-00000-0000-0000-000-000-000-000-000-000,LOWER THOMPSON,CO-7,CO,Current,46200,LTh,GStr,LTh+GStr
CLAPPERTON CREEK,CLAPPERTON CREEK,2370,50.16202314270,-120.66985182000,Stream,100-190442-244975-463869-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-246600-46100-00000-0000-0000-000-000-000-000-000-000,LOWER THOMPSON,CO-7,CO,Current,44965,LTh,GStr,LTh+GStr
COLDWATER RIVER,COLDWATER RIVER,215,50.11490174370,-120.80430576400,Stream,100-190442-244975-337574-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-246600-33700-00000-0000-0000-000-000-000-000-000-000,LOWER THOMPSON,CO-7,CO,Current,46190,LTh,GStr,LTh+GStr
DEADMAN RIVER,DEADMAN RIVER,217,50.74444786860,-120.91873628300,Stream,100-190442-712025-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-714600-00000-00000-0000-0000-000-000-000-000-000-000,LOWER THOMPSON,CO-7,CO,Current,46210,LTh,GStr,LTh+GStr
GUICHON CREEK,GUICHON CREEK,2369,50.14416780860,-120.88600866200,Stream,100-190442-244975-296261-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-246600-29600-00000-0000-0000-000-000-000-000-000-000,LOWER THOMPSON,CO-7,CO,Current,128,LTh,GStr,LTh+GStr
NICOLA RIVER,NICOLA RIVER,213,50.42767088660,-121.31620044900,Stream,100-190442-244975-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-246600-00000-00000-0000-0000-000-000-000-000-000-000,LOWER THOMPSON,CO-7,CO,Current,46170,LTh,GStr,LTh+GStr
NICOLA RIVER - UPPER,NICOLA RIVER,2453,50.13744698490,-120.70908403700,Stream Segment,100-190442-244975-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-246600-00000-00000-0000-0000-000-000-000-000-000-000,LOWER THOMPSON,CO-7,CO,Current,44736,LTh,GStr,LTh+GStr
SPIUS CREEK,SPIUS CREEK,214,50.14632338400,-121.02044239500,Stream,100-190442-244975-232973-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-246600-23400-00000-0000-0000-000-000-000-000-000-000,LOWER THOMPSON,CO-7,CO,Current,46180,LTh,GStr,LTh+GStr
TRANQUILLE RIVER,TRANQUILLE RIVER,2371,50.71923228810,-120.53399925500,Stream,100-190442-906230-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-907500-00000-00000-0000-0000-000-000-000-000-000-000,LOWER THOMPSON,CO-7,CO,Current,44975,LTh,GStr,LTh+GStr
ADAMS RIVER,ADAMS RIVER,220,50.89438551760,-119.55413595000,Stream,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46240,STh,GStr,STh+GStr
ADAMS RIVER - UPPER,ADAMS RIVER,221,51.40895047970,-119.45858548900,Stream Segment,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46250,STh,GStr,STh+GStr
ANSTEY RIVER,ANSTEY RIVER,231,51.13120357910,-118.89937647900,Stream,100-190442-999098-995997-520730-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-731800-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46350,STh,GStr,STh+GStr
BESSETTE CREEK,BESSETTE CREEK,252,50.30662331090,-118.82207343400,Stream,100-190442-999098-995997-730848-543292-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-54100-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46542,STh,GStr,STh+GStr
BLURTON CREEK,BLURTON CREEK,243,50.68972426590,-119.05207059000,Stream,100-190442-999098-995997-730848-094096-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-07700-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46461,STh,GStr,STh+GStr
BOLEAN CREEK,BOLEAN CREEK,238,50.49835602740,-119.56103306100,Stream,100-190442-999098-995997-990301-431572-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-994100-40700-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46411,STh,GStr,STh+GStr
CANOE CREEK,CANOE CREEK,239,50.75568366050,-119.22156984100,Stream,100-190442-999098-995997-893719-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-932800-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46421,STh,GStr,STh+GStr
CAYENNE CREEK,CAYENNE CREEK,224,51.32073590000,-119.31872485500,Stream,100-190442-999098-995997-058910-326444-537363-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-32500-49200-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46280,STh,GStr,STh+GStr
CELISTA CREEK,CELISTA CREEK,228,51.19723846200,-119.00516401100,Stream,100-190442-999098-995997-492708-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-698800-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46320,STh,GStr,STh+GStr
CRAZY CREEK,CRAZY CREEK,1997,50.99139750950,-118.64658114600,Stream,100-190442-999098-995997-725308-618803-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-831400-63800-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,806,STh,GStr,STh+GStr
CREIGHTON CREEK,CREIGHTON CREEK,253,50.24639920910,-118.95611163600,Stream,100-190442-999098-995997-730848-543292-564986-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-54100-51800-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46552,STh,GStr,STh+GStr
DANFORTH CREEK,DANFORTH CREEK,247,50.69558492100,-118.74598160900,Stream,100-190442-999098-995997-730848-373026-397952-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-35300-39200-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46501,STh,GStr,STh+GStr
DUTEAU CREEK,DUTEAU CREEK,254,50.25142097390,-118.96023064700,Stream,100-190442-999098-995997-730848-543292-538606-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-54100-49500-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46562,STh,GStr,STh+GStr
EAGLE RIVER,EAGLE RIVER,232,50.84350470900,-119.01017091300,Stream,100-190442-999098-995997-725308-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-831400-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46360,STh,GStr,STh+GStr
FORTUNE CREEK,FORTUNE CREEK,244,50.54153668560,-119.13255894200,Stream,100-190442-999098-995997-730848-210601-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-19600-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46471,STh,GStr,STh+GStr
HARBOUR CREEK,HARBOUR CREEK,2744,51.54195550300,-119.30190434500,Stream,100-190442-999098-995997-058910-518106-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-51500-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,3069,STh,GStr,STh+GStr
HARRIS CREEK,HARRIS CREEK,255,50.19872663630,-118.99266871900,Stream,100-190442-999098-995997-730848-543292-811833-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-54100-73600-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46572,STh,GStr,STh+GStr
HIUIHILL CREEK,HIUIHILL CREEK,2373,50.92262090060,-119.63375011800,Stream,100-190442-999098-995997-058910-043375-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-03900-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,132,STh,GStr,STh+GStr
HUNAKWA CREEK,HUNAKWA CREEK,230,51.13297956430,-118.91507262500,Stream,100-190442-999098-995997-520714-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-731400-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46340,STh,GStr,STh+GStr
IRELAND CREEK,IRELAND CREEK,251,50.39016462420,-118.78168645600,Stream,100-190442-999098-995997-730848-496306-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-49000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46532,STh,GStr,STh+GStr
JOHNSON CREEK,JOHNSON CREEK,242,50.69672995430,-119.05161104100,Stream,100-190442-999098-995997-730848-089853-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-07200-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46451,STh,GStr,STh+GStr
KINGFISHER CREEK,KINGFISHER CREEK,246,50.61229146180,-118.74310811400,Stream,100-190442-999098-995997-730848-373026-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-35300-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46491,STh,GStr,STh+GStr
LOFTUS CREEK,LOFTUS CREEK,2434,50.93508995230,-118.80129389400,Stream,100-190442-999098-995997-725308-414964-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-831400-40700-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,7475,STh,GStr,STh+GStr
MCNOMEE CREEK,MCNOMEE CREEK,2392,51.26400255450,-118.94565731000,Stream,100-190442-999098-995997-492860-064395-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-700300-05600-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,45017,STh,GStr,STh+GStr
MCNOMEE CREEK,MCNOMEE CREEK,2392,51.26400255450,-118.94565731000,Stream,100-190442-999098-995997-492860-064395-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-700300-05600-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,45016,STh,GStr,STh+GStr
MOMICH RIVER,MOMICH RIVER,223,51.33451057010,-119.42425419700,Stream,100-190442-999098-995997-058910-326444-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-32500-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46270,STh,GStr,STh+GStr
NIKWIKWAIA CREEK,NIKWIKWAIA CREEK,2388,50.93907051180,-119.65603190600,Stream,100-190442-999098-995997-058910-057838-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-05400-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,3071,STh,GStr,STh+GStr
NOISY CREEK,NOISY CREEK,248,50.70716375920,-118.65511389400,Stream,100-190442-999098-995997-730848-384513-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-36500-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46511,STh,GStr,STh+GStr
ONYX CREEK,ONYX CREEK,226,50.95373848680,-119.28101194900,Stream,100-190442-999098-995997-296515-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-585000-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46300,STh,GStr,STh+GStr
OWLHEAD CREEK,OWLHEAD CREEK,233,50.85030816960,-118.94843460400,Stream,100-190442-999098-995997-725308-118930-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-831400-09200-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46370,STh,GStr,STh+GStr
PERRY RIVER,PERRY RIVER,2394,50.99454226780,-118.68808449000,Stream,100-190442-999098-995997-725308-568657-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-831400-58500-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,133,STh,GStr,STh+GStr
SALMON RIVER,SALMON RIVER,237,50.71001713820,-119.30656524000,Stream,100-190442-999098-995997-990301-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-994100-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46401,STh,GStr,STh+GStr
SCOTCH CREEK,SCOTCH CREEK,225,50.91532294490,-119.50925263300,Stream,100-190442-999098-995997-088471-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-478700-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46290,STh,GStr,STh+GStr
SENN CREEK,,3542,50.94406531390,-118.79197511200,Stream,100-190442-999098-995997-725308-430439-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-831400-43243-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,3074,STh,GStr,STh+GStr
SEYMOUR RIVER,SEYMOUR RIVER,229,51.23862599560,-118.95845426200,Stream,100-190442-999098-995997-492860-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-700300-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46330,STh,GStr,STh+GStr
SHUSWAP RIVER - LOWER,SHUSWAP RIVER,240,50.72484103440,-119.04705282900,Stream Segment,100-190442-999098-995997-730848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46431,STh,GStr,STh+GStr
SHUSWAP RIVER - MIDDLE,SHUSWAP RIVER,241,50.43388501610,-118.75148752300,Stream Segment,100-190442-999098-995997-730848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46441,STh,GStr,STh+GStr
SHUSWAP RIVER - MIDDLE,SHUSWAP RIVER,241,50.43388501610,-118.75148752300,Stream Segment,100-190442-999098-995997-730848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-00000-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,1720,STh,GStr,STh+GStr
SINMAX CREEK,SINMAX CREEK,222,51.07656083210,-119.78727931100,Stream,100-190442-999098-995997-058910-140766-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-13600-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46260,STh,GStr,STh+GStr
SOUTH PASS CREEK,SOUTH PASS CREEK,234,50.92836771440,-118.47327745700,Stream,100-190442-999098-995997-725308-815291-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-831400-85900-00000-0000-0000-000-000-000-000-000-000,SOUTH THOMPSON,CO-8,CO,Current,46380,STh,GStr,STh+GStr
