SITE_NAME,GAZ_NAME,GFE_ID,Y_LAT,X_LONG,GFE_TYPE,WS_CDE_20K,WS_CDE_50K,CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,POP_ID,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO
BROUSSEAU CREEK,,56,49.12221203670,-122.09553415100,Stream,,,LOWER FRASER,CM-2,CM,Current,46973,LFR,GStr,LFR+GStr
BRUNETTE RIVER,BRUNETTE RIVER,3,49.21949959160,-122.89191302900,Stream,100-019698-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-020100-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47906,LFR,GStr,LFR+GStr
CAMP SLOUGH,CAMP SLOUGH,93,49.20503970310,-121.90010169900,Slough,100-072260-850854-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-074100-28700-50400-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47082,LFR,GStr,LFR+GStr
CENTRE CREEK,CENTRE CREEK,82,49.10318455670,-121.53658482400,Stream,100-064535-057628-563041-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-56200-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47055,LFR,GStr,LFR+GStr
CHEHALIS RIVER,CHEHALIS RIVER,181,49.26989417320,-121.93608898200,Stream,100-077501-094860-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-090200-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46041,LFR,GStr,LFR+GStr
CHILLIWACK CREEK,CHILLIWACK CREEK,89,49.16557057910,-122.01404425000,Stream,100-070889-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-071800-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47075,LFR,GStr,LFR+GStr
CHILLIWACK RIVER,CHILLIWACK RIVER,62,49.12641334960,-122.09835350000,Stream,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46984,LFR,GStr,LFR+GStr
CHILLIWACK RIVER - UPPER,CHILLIWACK RIVER,63,49.01524167680,-121.40853743700,Stream Segment,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46989,LFR,GStr,LFR+GStr
CHILQUA CREEK,CHILQUA CREEK,43,49.17572374070,-122.23160810700,Stream,100-057528-576690-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-058500-46900-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,48025,LFR,GStr,LFR+GStr
CLAYBURN CREEK,CLAYBURN CREEK,40,49.11088122110,-122.32229977800,Stream,100-052827-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-054300-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,48016,LFR,GStr,LFR+GStr
COGBURN CREEK,COGBURN CREEK,190,49.53357779030,-121.76844269000,Stream,100-077501-550992-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-535100-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46067,LFR,GStr,LFR+GStr
COGHLAN CREEK,COGHLAN CREEK,29,49.12190140240,-122.56878701200,Stream,100-038203-410335-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-038800-43000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47980,LFR,GStr,LFR+GStr
COHO CREEK,,17,49.24014068850,-122.62400358100,Stream,100-025956-057184-175291-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-06000-17300-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47939,LFR,GStr,LFR+GStr
COQUITLAM RIVER,COQUITLAM RIVER,8,49.22523346390,-122.80507628700,Stream,100-023788-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-024500-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47910,LFR,GStr,LFR+GStr
DEPOT CREEK,DEPOT CREEK,85,49.02961276720,-121.40212988000,Stream,100-064535-057628-724358-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-72300-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47069,LFR,GStr,LFR+GStr
DEROCHE CREEK,DEROCHE CREEK,57,49.18294307740,-122.07183491600,Stream,100-069516-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-070200-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46974,LFR,GStr,LFR+GStr
DOUGLAS CREEK,DOUGLAS CREEK,195,49.76274436040,-122.15264817600,Stream,100-077501-985523-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-987400-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46086,LILL,GStr,LILL+GStr
DRAPER CREEK,DRAPER CREEK,42,49.16079944720,-122.24647492700,Stream,100-057528-398258-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-058500-34300-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,48018,LFR,GStr,LFR+GStr
EAST CREEK,,186,49.32001898860,-121.88413943000,Stream,100-077501-154487-942852-185716-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-149200-85400-23800-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46057,LFR,GStr,LFR+GStr
ELK BROOK,ELK BROOK,94,49.18333618020,-121.89861998200,Stream,100-072260-716322-111718-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-074100-36700-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47084,LFR,GStr,LFR+GStr
FIFTEEN MILE CREEK,,81,49.10630500140,-121.52239431800,Stream,100-064535-057628-576530-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-57500-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47052,LFR,GStr,LFR+GStr
FOLEY CREEK,FOLEY CREEK,78,49.10613836350,-121.63595825600,Stream,100-064535-057628-459516-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-45800-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47038,LFR,GStr,LFR+GStr
FOLEY CREEK SIDE CHANNEL,,381,49.10613836350,-121.63595825600,Artificial Channel,100-064535-057628-459516-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-45800-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,45780,LFR,GStr,LFR+GStr
FOURTEEN MILE CREEK,,80,49.10349076560,-121.53728906000,Stream,100-064535-057628-562408-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-56100-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47048,LFR,GStr,LFR+GStr
GIESBRECHT SPAWNING CHANNEL,,64,49.11869950990,-122.09215712300,Artificial Channel,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46991,LFR,GStr,LFR+GStr
GREYELL SLOUGH,GREYELL SLOUGH,100,49.21714846600,-121.87987308000,Slough Segment,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47086,LFR,GStr,LFR+GStr
HARRISON RIVER,HARRISON RIVER,179,49.22891514400,-121.94660097800,Stream,100-077501-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-000000-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46033,LFR,GStr,LFR+GStr
HAWKINS CREEK,NORRISH CREEK,54,49.17317156960,-122.13535621300,Stream,100-066153-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-064000-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46971,LFR,GStr,LFR+GStr
HICKS CREEK,HICKS CREEK,105,49.29340337710,-121.72036187800,Stream,100-095166-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-093700-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47098,LFR,GStr,LFR+GStr
HOPE SLOUGH,HOPE SLOUGH,92,49.19527105140,-121.90206143400,Stream,100-072260-716322-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-074100-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47081,LFR,GStr,LFR+GStr
HOPEDALE CREEK,,2566,49.12068627680,-122.09405164500,Stream,,,LOWER FRASER,CM-2,CM,Current,44645,LFR,GStr,LFR+GStr
HOPEDALE SLOUGH,,67,49.09297719350,-122.03222982700,Slough,100-064535-057628-072521-209319-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-07400-6150-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47009,LFR,GStr,LFR+GStr
HOPEDALE SLOUGH,,67,49.09297719350,-122.03222982700,Slough,100-064535-057628-072521-209319-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-07400-6150-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,1251,LFR,GStr,LFR+GStr
HOY CREEK,HOY CREEK,10,49.27598232430,-122.80442108700,Stream,100-023788-113399-243156-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-024500-11000-31000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47914,LFR,GStr,LFR+GStr
HYDE CREEK,HYDE CREEK,18,49.28552025690,-122.73365074900,Stream,100-025956-070515-996760-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-07200-97700-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47941,LFR,GStr,LFR+GStr
INCHES CREEK,INCHES CREEK,52,49.17023199620,-122.15501732000,Stream,100-066153-027062-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-064000-60350-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47559,LFR,GStr,LFR+GStr
KANAKA CREEK,KANAKA CREEK,27,49.20032122310,-122.58547069100,Stream,100-036594-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-037400-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47963,LFR,GStr,LFR+GStr
KATZ CREEK,,368,49.16753960200,-122.13827921200,Stream,,,LOWER FRASER,CM-2,CM,Current,45696,LFR,GStr,LFR+GStr
KENWORTHY CREEK,KENWORTHY CREEK,44,49.19849400150,-122.25114671600,Stream,100-057528-861594-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-058500-84000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,48029,LFR,GStr,LFR+GStr
LAGACE CREEK,LAGACE CREEK,45,49.19948382550,-122.25124161000,Stream,100-057528-869526-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-058500-84700-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,48036,LFR,GStr,LFR+GStr
LILLOOET RIVER - LOWER,LILLOOET RIVER,177,49.74746814850,-122.14582827100,Stream Segment,100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-000000-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46966,LILL,GStr,LILL+GStr
LIUMCHEN CREEK,LIUMCHEN CREEK,71,49.07910256230,-121.92326207400,Stream,100-064535-057628-176296-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-17700-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47021,LFR,GStr,LFR+GStr
LONZO CREEK,MARSHALL CREEK,87,49.05713979070,-122.18130043600,Stream,100-064535-223850-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-43900-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47072,LFR,GStr,LFR+GStr
LORENZETTA CREEK,LORENZETTA CREEK,107,49.31763346130,-121.62445766300,Stream,100-100401-019534-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-102000-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47105,LFR,GStr,LFR+GStr
LUCKAKUCK CREEK,LUCKAKUCK CREEK,91,49.14998545890,-121.97431828800,Stream,100-070889-312662-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-071800-42400-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47079,LFR,GStr,LFR+GStr
MACINTYRE CREEK,MACINTYRE CREEK,20,49.31396315640,-122.68071832500,Stream,100-025956-135412-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-13700-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47950,LFR,GStr,LFR+GStr
MAHOOD CREEK,MAHOOD CREEK,108,49.34181939010,-121.62805082400,Stream,100-100267-994369-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-101900-79200-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47109,LFR,GStr,LFR+GStr
MARIA SLOUGH,MARIA SLOUGH,104,49.23413632600,-121.73054797900,Slough Segment,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47095,LFR,GStr,LFR+GStr
MOUNTAIN SLOUGH,MOUNTAIN SLOUGH,101,49.23387710360,-121.85599733100,Slough,100-081938-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-083600-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47088,LFR,GStr,LFR+GStr
NATHAN CREEK,NATHAN CREEK,31,49.16588458170,-122.48842564500,Stream,100-042883-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-043700-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47992,LFR,GStr,LFR+GStr
NESAKWATCH CREEK,NESAKWATCH CREEK,79,49.09050624130,-121.59571980100,Stream,100-064535-057628-508798-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-50700-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47041,LFR,GStr,LFR+GStr
NICOMEN SLOUGH,NICOMEN SLOUGH,50,49.14145584670,-122.18251226700,Slough Segment,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47554,LFR,GStr,LFR+GStr
NORRISH CREEK,NORRISH CREEK,51,49.17317156960,-122.13535621300,Stream,100-066153-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-064000-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47557,LFR,GStr,LFR+GStr
NORTH ALOUETTE RIVER,NORTH ALOUETTE RIVER,15,49.26701124160,-122.66865124800,Stream,100-025956-057184-074570-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-06000-06400-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47928,LFR,GStr,LFR+GStr
OR CREEK,OR CREEK,12,49.34180216920,-122.77129963700,Stream,100-023788-346702-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-024500-34800-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47916,LFR,GStr,LFR+GStr
PARTINGTON CREEK,PARTINGTON CREEK,19,49.28569971100,-122.73352537500,Stream,100-025956-070515-998174-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-07200-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47943,LFR,GStr,LFR+GStr
PEACH CREEK,,69,49.09878654160,-122.02571786300,Stream,100-064535-057628-084903-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47015,LFR,GStr,LFR+GStr
PETERS SLOUGH,,408,49.59550515580,-122.64077566400,Slough Segment,100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,45917,LFR,GStr,LFR+GStr
PITT RIVER - UPPER,PITT RIVER,13,49.56670908850,-122.63292292500,Stream,100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47920,LFR,GStr,LFR+GStr
POST CREEK,POST CREEK,83,49.09170828860,-121.47970757000,Stream,100-064535-057628-620792-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-61900-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47062,LFR,GStr,LFR+GStr
PURCELL CREEK,PURCELL CREEK,196,49.74111069620,-122.10339751100,Stream,100-077501-930397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-926900-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46091,LFR,GStr,LFR+GStr
PYE CREEK,PYE CREEK,58,49.19727347340,-122.05090904400,Stream,100-070881-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-072000-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46976,LFR,GStr,LFR+GStr
RANGER CREEK,,369,49.07956972250,-121.72053697600,Stream,100-064535-057628-369240-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,,LOWER FRASER,CM-2,CM,Current,45698,LFR,GStr,LFR+GStr
RYDER CREEK,RYDER CREEK,72,49.07871517840,-121.87876437800,Stream,100-064535-057628-216612-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-21000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47024,LFR,GStr,LFR+GStr
SAKWI CREEK,SAKWI CREEK,185,49.32970400980,-121.87782794500,Stream,100-077501-154487-942852-376971-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-149200-85400-35600-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46054,LFR,GStr,LFR+GStr
SALMON RIVER,SALMON RIVER,28,49.17702293090,-122.58644035100,Stream,100-038203-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-038800-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47970,LFR,GStr,LFR+GStr
SALWEIN CREEK,,65,49.09138065600,-122.04479295500,Stream,100-064535-057628-067003-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-06600-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46993,LFR,GStr,LFR+GStr
SCHOOLHOUSE CREEK,COMO CREEK,7,49.22396876160,-122.85059288000,Stream,100-021505-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-022200-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47907,LFR,GStr,LFR+GStr
SCOREY CREEK,SCOREY CREEK,48,49.18501955160,-122.23625482200,Stream,100-057528-649601-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-058500-58400-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47551,LFR,GStr,LFR+GStr
SCOTT CREEK,SCOTT CREEK,9,49.26066637460,-122.79569996600,Stream,100-023788-113399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-024500-11000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,47912,LFR,GStr,LFR+GStr
SIDDALL CREEK,SIDDALL CREEK,60,49.20988628060,-122.01138559400,Stream,100-072764-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-072800-00000-00000-0000-0000-000-000-000-000-000-000,LOWER FRASER,CM-2,CM,Current,46978,LFR,GStr,LFR+GStr
