SITE_NAME,GAZ_NAME,GFE_ID,Y_LAT,X_LONG,GFE_TYPE,WS_CDE_20K,WS_CDE_50K,CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,POP_ID,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO
COQUIHALLA RIVER,COQUIHALLA RIVER,112,49.39352781540,-121.43919363800,Stream,100-113848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-115400-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47123,FRCany,GStr,FRCany+GStr
COQUITLAM RIVER,COQUITLAM RIVER,8,49.22523346390,-122.80507628700,Stream,100-023788-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-024500-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47909,LFR,GStr,LFR+GStr
DEADMAN RIVER,DEADMAN RIVER,217,50.74444786860,-120.91873628300,Stream,100-190442-712025-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-714600-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46212,LTh,GStr,LTh+GStr
DEPOT CREEK,DEPOT CREEK,85,49.02961276720,-121.40212988000,Stream,100-064535-057628-724358-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-72300-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47068,LFR,GStr,LFR+GStr
DOUGLAS CREEK,DOUGLAS CREEK,195,49.76274436040,-122.15264817600,Stream,100-077501-985523-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-987400-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46085,LILL,GStr,LILL+GStr
EAGLE RIVER,EAGLE RIVER,232,50.84350470900,-119.01017091300,Stream,100-190442-999098-995997-725308-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-831400-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46362,STh,GStr,STh+GStr
EMORY CREEK,EMORY CREEK,120,49.50939340770,-121.41636588800,Stream,100-124099-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-125600-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47145,FRCany,GStr,FRCany+GStr
FLOODS CREEK,,435,49.11086518940,-122.08479749500,Stream,,,FRASER RIVER,PKO-1,PKO,Current,48419,LFR,GStr,LFR+GStr
FOLEY CREEK,FOLEY CREEK,78,49.10613836350,-121.63595825600,Stream,100-064535-057628-459516-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-45800-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47037,LFR,GStr,LFR+GStr
FRASER RIVER,FRASER RIVER,1,49.11887645050,-123.19101083400,Stream,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47235,LFR,GStr,LFR+GStr
FRASER RIVER AND TRIBUTARIES,FRASER RIVER,7990634,49.11887645050,-123.19101083400,Stream,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,44551,LFR,GStr,LFR+GStr
GATES CREEK,GATES RIVER,132,50.55208399180,-122.47248091000,Stream,100-233886-990253-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-99100-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47215,MFR,GStr,MFR+GStr
GIESBRECHT SPAWNING CHANNEL,,64,49.11869950990,-122.09215712300,Artificial Channel,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46990,LFR,GStr,LFR+GStr
HARRISON RIVER,HARRISON RIVER,179,49.22891514400,-121.94660097800,Stream,100-077501-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46032,LFR,GStr,LFR+GStr
HAWKS CREEK,HAWKS CREEK,2573,52.30283618620,-122.28429690700,Stream,100-394295-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-396700-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,44653,MFR,GStr,MFR+GStr
HIUIHILL CREEK,HIUIHILL CREEK,2373,50.92262090060,-119.63375011800,Stream,100-190442-999098-995997-058910-043375-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-03900-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,44985,STh,GStr,STh+GStr
HOPEDALE SLOUGH,,67,49.09297719350,-122.03222982700,Slough,100-064535-057628-072521-209319-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-07400-6150-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47007,LFR,GStr,LFR+GStr
HUNTER CREEK,HUNTER CREEK,110,49.35828040610,-121.57443497800,Stream,100-104902-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-106400-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47115,FRCany,GStr,FRCany+GStr
JONES CREEK CHANNEL,,2481,49.31871301020,-121.62595474300,Artificial Channel,100-100792-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,44562,LFR,GStr,LFR+GStr
KANAKA CREEK,KANAKA CREEK,27,49.20032122310,-122.58547069100,Stream,100-036594-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-037400-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47962,LFR,GStr,LFR+GStr
LEMIEUX CREEK,LEMIEUX CREEK,262,51.42444746440,-120.20083151600,Stream,100-190442-998192-274759-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,129-281900-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46644,NTh,GStr,NTh+GStr
LILLOOET RIVER - LOWER,LILLOOET RIVER,177,49.74746814850,-122.14582827100,Stream Segment,100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46965,LILL,GStr,LILL+GStr
LITTLE RIVER,SOUTH THOMPSON RIVER,219,50.86552576610,-119.60476187000,Stream Segment,100-190442-999098-995997-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46232,STh,GStr,STh+GStr
LITTLE SHUSWAP LAKE,LITTLE SHUSWAP LAKE,2484,50.82785284720,-119.69777284800,Lake,100-190442-999098-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,44563,STh,GStr,STh+GStr
LIUMCHEN CREEK,LIUMCHEN CREEK,71,49.07910256230,-121.92326207400,Stream,100-064535-057628-176296-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-17700-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47020,LFR,GStr,LFR+GStr
LORENZETTA CREEK,LORENZETTA CREEK,107,49.31763346130,-121.62445766300,Stream,100-100401-019534-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-102000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47104,LFR,GStr,LFR+GStr
MAHOOD CREEK,MAHOOD CREEK,108,49.34181939010,-121.62805082400,Stream,100-100267-994369-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-101900-79200-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47108,LFR,GStr,LFR+GStr
MARIA SLOUGH,MARIA SLOUGH,104,49.23413632600,-121.73054797900,Slough Segment,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47094,LFR,GStr,LFR+GStr
NAHATLATCH RIVER,NAHATLATCH RIVER,125,49.97713929860,-121.51019095700,Stream,100-168517-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-170100-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47161,FRCany,GStr,FRCany+GStr
NARCOSLI CREEK,NARCOSLI CREEK,140,52.82196192800,-122.46113471800,Stream,100-444782-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-446700-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47253,MFR,GStr,MFR+GStr
NESAKWATCH CREEK,NESAKWATCH CREEK,79,49.09050624130,-121.59571980100,Stream,100-064535-057628-508798-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-50700-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47040,LFR,GStr,LFR+GStr
NICOAMEN RIVER,NICOAMEN RIVER,212,50.26872340710,-121.40206674100,Stream,100-190442-104858-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-104500-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46167,LTh,GStr,LTh+GStr
NICOLA RIVER,NICOLA RIVER,213,50.42767088660,-121.31620044900,Stream,100-190442-244975-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,120-246600-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46172,LTh,GStr,LTh+GStr
NIKWIKWAIA CREEK,NIKWIKWAIA CREEK,2388,50.93907051180,-119.65603190600,Stream,100-190442-999098-995997-058910-057838-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-453400-05400-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,45010,STh,GStr,STh+GStr
NORRISH CREEK,NORRISH CREEK,51,49.17317156960,-122.13535621300,Stream,100-066153-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-064000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47556,LFR,GStr,LFR+GStr
NORTH ALOUETTE RIVER,NORTH ALOUETTE RIVER,15,49.26701124160,-122.66865124800,Stream,100-025956-057184-074570-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-06000-06400-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47927,LFR,GStr,LFR+GStr
NORTH THOMPSON RIVER,NORTH THOMPSON RIVER,256,50.68178400990,-120.34184586200,Stream,100-190442-998192-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,129-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46584,NTh,GStr,NTh+GStr
PALEFACE CREEK,PALEFACE CREEK,84,49.04534315380,-121.40441662200,Stream,100-064535-057628-707731-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-70600-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47066,LFR,GStr,LFR+GStr
PEACH CREEK,,69,49.09878654160,-122.02571786300,Stream,100-064535-057628-084903-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47014,LFR,GStr,LFR+GStr
PITT RIVER - UPPER,PITT RIVER,13,49.56670908850,-122.63292292500,Stream,100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47919,LFR,GStr,LFR+GStr
POPCUM CREEK,BRIDAL CREEK,103,49.20110178370,-121.73681526700,Stream,100-088370-204284-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-089400-07100-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47091,LFR,GStr,LFR+GStr
PORTAGE CREEK,SETON RIVER,129,50.70835134680,-122.26938894600,Stream Segment,100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47185,MFR,GStr,MFR+GStr
QUESNEL RIVER,QUESNEL RIVER,289,52.97064226450,-122.49800394400,Stream,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46877,MFR,GStr,MFR+GStr
RUBY CREEK,RUBY CREEK,109,49.35244820810,-121.60667731200,Stream,100-103301-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-104700-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47112,FRCany,GStr,FRCany+GStr
RYDER CREEK,RYDER CREEK,72,49.07871517840,-121.87876437800,Stream,100-064535-057628-216612-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-21000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47023,LFR,GStr,LFR+GStr
SAWMILL CREEK,SAWMILL CREEK,2386,49.61177262040,-121.41107187000,Stream,100-134752-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-136100-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,45006,FRCany,GStr,FRCany+GStr
SCOTCH CREEK,SCOTCH CREEK,225,50.91532294490,-119.50925263300,Stream,100-190442-999098-995997-088471-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-478700-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46292,STh,GStr,STh+GStr
SETON AND CAYOOSH CREEKS,,7990579,50.66872680360,-121.97260988800,Stream,100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47195,MFR,GStr,MFR+GStr
SETON CHANNELS - UPPER AND LOWER,,2451,50.67250809630,-121.94291531100,Artificial Channel,100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,45104,MFR,GStr,MFR+GStr
SETON RIVER,SETON RIVER,2476,50.68089255140,-121.92870087600,Stream,100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,44540,MFR,GStr,MFR+GStr
SHUSWAP LAKE,SHUSWAP LAKE,379,50.88161749930,-119.55911856200,Lake,100-190442-999098-995997-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,45768,STh,GStr,STh+GStr
SHUSWAP RIVER - LOWER,SHUSWAP RIVER,240,50.72484103440,-119.04705282900,Stream Segment,100-190442-999098-995997-730848-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-835500-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46433,STh,GStr,STh+GStr
SILVERDALE CREEK,SILVERDALE CREEK,36,49.13323453410,-122.35848073100,Stream,100-050984-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-051900-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,48011,LFR,GStr,LFR+GStr
SILVERHOPE CREEK,SILVERHOPE CREEK,111,49.37059555550,-121.46289904200,Stream,100-111269-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-112900-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47119,FRCany,GStr,FRCany+GStr
SLESSE CREEK,SLESSE CREEK,77,49.07822601080,-121.70875869000,Stream,100-064535-057628-380676-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-065700-09700-38000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47034,LFR,GStr,LFR+GStr
SLOQUET CREEK,SLOQUET CREEK,197,49.76784582160,-122.20503098800,Stream,100-077501-955583-030689-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-025200-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46095,LILL,GStr,LILL+GStr
SOUTH THOMPSON RIVER,SOUTH THOMPSON RIVER,218,50.68051741530,-120.33813631000,Stream,100-190442-999098-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,128-000000-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46222,STh,GStr,STh+GStr
SPUZZUM CREEK,SPUZZUM CREEK,123,49.66572736990,-121.41251583200,Stream,100-139969-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-141400-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,47151,FRCany,GStr,FRCany+GStr
SQUAWKUM CREEK,SQUAWKUM CREEK,180,49.23274911340,-121.99635604600,Stream,100-077501-039335-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-036900-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,46036,LFR,GStr,LFR+GStr
STAVE RIVER,STAVE RIVER,34,49.17180352940,-122.42376016300,Stream,100-046202-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-047100-00000-00000-0000-0000-000-000-000-000-000-000,FRASER RIVER,PKO-1,PKO,Current,48007,LFR,GStr,LFR+GStr
