SITE_NAME,GAZ_NAME,GFE_ID,Y_LAT,X_LONG,GFE_TYPE,WS_CDE_20K,WS_CDE_50K,CU_NAME,FULL_CU_IN,SP_QUAL,CU_TYPE,POP_ID,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO
MYSTERY CREEK,MYSTERY CREEK,189,49.52749923740,-121.88571229400,Stream,100-077501-608242-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-581900-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,46063,LFR,GStr,LFR+GStr
PURCELL CREEK,PURCELL CREEK,196,49.74111069620,-122.10339751100,Stream,100-077501-930397-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-926900-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,46088,LFR,GStr,LFR+GStr
SLOQUET CREEK,SLOQUET CREEK,197,49.76784582160,-122.20503098800,Stream,100-077501-955583-030689-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-025200-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,46093,LILL,GStr,LILL+GStr
TIPELLA CREEK,TIPELLA CREEK,194,49.74283255560,-122.15162620500,Stream,100-077501-955583-005332-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-954600-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,46078,LFR,GStr,LFR+GStr
TROUT LAKE CREEK,TROUT LAKE CREEK,188,49.34143199330,-121.74754402400,Stream,100-077501-285718-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-259000-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,46059,LFR,GStr,LFR+GStr
TWENTY MILE CREEK,TWENTY MILE CREEK,191,49.53402781970,-121.88546773300,Stream,100-077501-608883-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-588000-00000-00000-0000-0000-000-000-000-000-000-000,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,SEL-03-03,SEL,Current,46069,LFR,GStr,LFR+GStr
EAST CREEK,,186,49.32001898860,-121.88413943000,Stream,100-077501-154487-942852-185716-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-149200-85400-23800-0000-0000-000-000-000-000-000-000,HARRISON-UPSTREAM MIGRATING-LATE TIMING,SEL-03-04,SEL,Current,46055,LFR,GStr,LFR+GStr
STEELHEAD CREEK,STEELHEAD CREEK,184,49.22500422110,-122.35265166600,Stream,100-046202-085851-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-047100-09100-00000-0000-0000-000-000-000-000-000-000,HARRISON-UPSTREAM MIGRATING-LATE TIMING,SEL-03-04,SEL,Current,46049,LFR,GStr,LFR+GStr
WEAVER CHANNEL,,2436,49.32173042800,-121.88110466700,Artificial Channel,100-077501-154487-942852-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-149200-85400-00000-0000-0000-000-000-000-000-000-000,HARRISON-UPSTREAM MIGRATING-LATE TIMING,SEL-03-04,SEL,Current,45087,LFR,GStr,LFR+GStr
WEAVER CREEK,WEAVER CREEK,183,49.31432926730,-121.87547357700,Stream,100-077501-154487-942852-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,110-149200-85400-00000-0000-0000-000-000-000-000-000-000,HARRISON-UPSTREAM MIGRATING-LATE TIMING,SEL-03-04,SEL,Current,46044,LFR,GStr,LFR+GStr
BOISE CREEK - NORTH,BOISE CREEK,26776,49.62422863490,-122.65995773800,Stream Segment,100-025956-550352-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-57400-00000-0000-0000-000-000-000-000-000-000,PITT-EARLY SUMMER TIMING,SEL-03-05,SEL,Current,7691,LFR,GStr,LFR+GStr
CORBOLD CREEK,CORBOLD CREEK,3492,49.61611208300,-122.64764797900,Stream,100-025956-537523-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-56400-00000-0000-0000-000-000-000-000-000-000,PITT-EARLY SUMMER TIMING,SEL-03-05,SEL,Current,7690,LFR,GStr,LFR+GStr
FISH HATCHERY CREEK,FISH HATCHERY CREEK,3507,49.60577085520,-122.63300588600,Stream,100-025956-522180-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-54900-00000-0000-0000-000-000-000-000-000-000,PITT-EARLY SUMMER TIMING,SEL-03-05,SEL,Current,7695,LFR,GStr,LFR+GStr
PITT LAKE,PITT LAKE,2443,49.39543600410,-122.55999643300,Lake,100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-00000-00000-0000-0000-000-000-000-000-000-000,PITT-EARLY SUMMER TIMING,SEL-03-05,SEL,Current,45095,LFR,GStr,LFR+GStr
PITT RIVER - UPPER,PITT RIVER,13,49.56670908850,-122.63292292500,Stream,100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-00000-00000-0000-0000-000-000-000-000-000-000,PITT-EARLY SUMMER TIMING,SEL-03-05,SEL,Current,47917,LFR,GStr,LFR+GStr
SLOUGH CREEK,,3506,49.55016260370,-122.61575402300,Stream,100-025956-452993-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,,PITT-EARLY SUMMER TIMING,SEL-03-05,SEL,Current,7696,LFR,GStr,LFR+GStr
SOUTH BOISE CREEK,BOISE CREEK,26777,49.61985058860,-122.66073980600,Stream Segment,100-025956-550352-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-026700-57400-00000-0000-0000-000-000-000-000-000-000,PITT-EARLY SUMMER TIMING,SEL-03-05,SEL,Current,7692,LFR,GStr,LFR+GStr
UPPER PITT CHANNEL,,26806,49.54896006780,-122.61411336400,Stream,,,PITT-EARLY SUMMER TIMING,SEL-03-05,SEL,Current,7693,LFR,GStr,LFR+GStr
BIRKENHEAD RIVER,BIRKENHEAD RIVER,198,50.30637328730,-122.60583307600,Stream,100-077501-955583-415280-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-425100-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46098,LILL,GStr,LILL+GStr
GREEN RIVER,GREEN RIVER,201,50.30203008630,-122.72201879600,Stream,100-077501-955583-455209-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-467100-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46107,LILL,GStr,LILL+GStr
JOHNNY SANDY CREEK,JOHNNY SANDY CREEK,206,50.48384578760,-122.94294459800,Stream,100-077501-955583-596718-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-618300-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46132,LILL,GStr,LILL+GStr
LILLOOET RIVER - UPPER,LILLOOET RIVER,178,50.29977244770,-122.61721728400,Stream Segment,100-077501-955583-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-000000-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46025,LILL,GStr,LILL+GStr
MILLER CREEK,MILLER CREEK,203,50.35653774150,-122.83244299000,Stream,100-077501-955583-514693-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-531200-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46117,LILL,GStr,LILL+GStr
PEMBERTON CREEK,PEMBERTON CREEK,202,50.31066763390,-122.78754321800,Stream,100-077501-955583-482223-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-487400-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46112,LILL,GStr,LILL+GStr
POOLE CREEK,POOLE CREEK,200,50.43539278550,-122.69269809100,Stream,100-077501-955583-415280-456434-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-425100-45300-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46102,LILL,GStr,LILL+GStr
RAILROAD CREEK,RAILROAD CREEK,209,50.53054987150,-123.05185439900,Stream,100-077501-955583-648786-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-676500-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46147,LILL,GStr,LILL+GStr
RYAN RIVER,RYAN RIVER,204,50.35844398330,-122.83479263200,Stream,100-077501-955583-515913-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-532200-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46122,LILL,GStr,LILL+GStr
SALMON CREEK,,207,50.48734791670,-122.95197577400,Stream,100-077501-955583-600648-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-622900-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46137,LILL,GStr,LILL+GStr
SAMPSON CREEK,SAMPSON CREEK,210,50.53470143770,-123.11820576600,Stream,100-077501-955583-674779-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-706700-00000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,46152,LILL,GStr,LILL+GStr
TAILLEFER CREEK,TAILLEFER CREEK,54098,50.50061018260,-122.73140403700,Stream,100-077501-955583-415280-621083-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,119-425100-61000-00000-0000-0000-000-000-000-000-000-000,LILLOOET/HARRISON-LATE TIMING,SEL-04-01,SEL,Current,7743,LILL,GStr,LILL+GStr
NAHATLATCH LAKE,NAHATLATCH LAKE,2442,50.00441548610,-121.72138048700,Lake,100-168517-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-170100-00000-00000-0000-0000-000-000-000-000-000-000,NAHATLATCH-EARLY SUMMER TIMING,SEL-05-02,SEL,Current,45094,FRCany,GStr,FRCany+GStr
NAHATLATCH RIVER,NAHATLATCH RIVER,125,49.97713929860,-121.51019095700,Stream,100-168517-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-170100-00000-00000-0000-0000-000-000-000-000-000-000,NAHATLATCH-EARLY SUMMER TIMING,SEL-05-02,SEL,Current,47157,FRCany,GStr,FRCany+GStr
ANDERSON LAKE - SHORE SPAWNERS,ANDERSON LAKE,31897,50.54860668410,-122.46848445100,Lake Portion,100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-00000-00000-0000-0000-000-000-000-000-000-000,ANDERSON/SETON-EARLY SUMMER TIMING,SEL-06-01,SEL,Current,7727,MFR,GStr,MFR+GStr
GATES CHANNEL,,2450,50.54875418550,-122.48224414900,Artificial Channel,100-233886-990253-055341-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-99100-05300-0000-0000-000-000-000-000-000-000,ANDERSON/SETON-EARLY SUMMER TIMING,SEL-06-01,SEL,Current,45102,MFR,GStr,MFR+GStr
GATES CREEK,GATES RIVER,132,50.55208399180,-122.47248091000,Stream,100-233886-990253-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-99100-00000-0000-0000-000-000-000-000-000-000,ANDERSON/SETON-EARLY SUMMER TIMING,SEL-06-01,SEL,Current,47211,MFR,GStr,MFR+GStr
HAYLMORE CREEK,HAYLMORE CREEK,26805,50.54021320210,-122.49080577700,Stream,100-233886-990253-124242-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-99100-12900-0000-0000-000-000-000-000-000-000,ANDERSON/SETON-EARLY SUMMER TIMING,SEL-06-01,SEL,Current,7688,MFR,GStr,MFR+GStr
LOST VALLEY CREEK - SHORE SPAWNERS,ANDERSON LAKE,26778,50.67304253900,-122.33852485300,Lake Portion,100-233886-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-00000-00000-0000-0000-000-000-000-000-000-000,ANDERSON/SETON-EARLY SUMMER TIMING,SEL-06-01,SEL,Current,7644,MFR,GStr,MFR+GStr
SPRUCE CREEK,SPRUCE CREEK,54280,50.52175117120,-122.49953828000,Stream,100-233886-990253-274608-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,100-235900-99100-26200-0000-0000-000-000-000-000-000-000,ANDERSON/SETON-EARLY SUMMER TIMING,SEL-06-01,SEL,Current,7762,MFR,GStr,MFR+GStr
CHILKO LAKE SOUTH END,CHILKO LAKE,2431,51.10225386360,-124.03187928800,Lake Portion,100-342455-328500-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-335700-00000-00000-0000-0000-000-000-000-000-000-000,CHILKO-EARLY SUMMER TIMING,SEL-06-02,SEL,Current,45081,MFR,GStr,MFR+GStr
CHILKO CHANNEL,,2429,51.62266201410,-124.14234607000,Artificial Channel,100-342455-328500-566250-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-335700-00000-00000-0000-0000-000-000-000-000-000-000,CHILKO-SUMMER TIMING,SEL-06-03,SEL,Current,45079,MFR,GStr,MFR+GStr
CHILKO LAKE NORTH END,CHILKO LAKE,2430,51.59773192440,-124.15736680000,Lake Portion,100-342455-328500-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-335700-00000-00000-0000-0000-000-000-000-000-000-000,CHILKO-SUMMER TIMING,SEL-06-03,SEL,Current,45080,MFR,GStr,MFR+GStr
CHILKO RIVER,CHILKO RIVER,286,52.09604997750,-123.46081927700,Stream,100-342455-328500-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,150-335700-00000-00000-0000-0000-000-000-000-000-000-000,CHILKO-SUMMER TIMING,SEL-06-03,SEL,Current,46843,MFR,GStr,MFR+GStr
FRANCOIS LAKE,FRANCOIS LAKE,386,54.00821314510,-125.00800824100,Lake,100-567134-374775-948201-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-374000-95200-00000-0000-0000-000-000-000-000-000-000,FRANCOIS/FRASER-SUMMER TIMING,SEL-06-07,SEL,Current,45806,MFR,GStr,MFR+GStr
NITHI RIVER,NITHI RIVER,301,53.97868115440,-124.98518846900,Stream,100-567134-374775-948201-138053-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-374000-95200-12500-0000-0000-000-000-000-000-000-000,FRANCOIS/FRASER-SUMMER TIMING,SEL-06-07,SEL,Current,45522,MFR,GStr,MFR+GStr
STELLAKO RIVER,STELLAKO RIVER,297,54.05609746650,-124.88505303000,Stream,100-567134-374775-948201-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-374000-95200-00000-0000-0000-000-000-000-000-000-000,FRANCOIS/FRASER-SUMMER TIMING,SEL-06-07,SEL,Current,46013,MFR,GStr,MFR+GStr
SWEETNAM CREEK,SWEETNAM CREEK,2639,54.00690239870,-125.02565227600,Stream,100-567134-374775-948201-147573-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-374000-95200-13500-0000-0000-000-000-000-000-000-000,FRANCOIS/FRASER-SUMMER TIMING,SEL-06-07,SEL,Current,44733,MFR,GStr,MFR+GStr
UNCHA CREEK,UNCHA CREEK,302,53.97437339870,-125.50972339900,Stream,100-567134-374775-948201-422608-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,180-374000-95200-41400-0000-0000-000-000-000-000-000-000,FRANCOIS/FRASER-SUMMER TIMING,SEL-06-07,SEL,Current,45523,MFR,GStr,MFR+GStr
ABBOTT CREEK,ABBOTT CREEK,2403,52.54266749380,-121.17692115200,Stream,100-458399-713315-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-706800-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,45054,MFR,GStr,MFR+GStr
BAXTER BEACH,QUESNEL LAKE,11513,52.72250284460,-120.86011421200,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3363,MFR,GStr,MFR+GStr
BEAR BEACH - SHORE,QUESNEL LAKE,11514,52.72250284460,-120.86011421200,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3364,MFR,GStr,MFR+GStr
BETTY FRANK'S - SHORE,QUESNEL LAKE,11515,52.72250284460,-120.86011421200,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3365,MFR,GStr,MFR+GStr
BIG SLIDE - SHORE,QUESNEL LAKE,11492,52.60429232020,-120.49439884900,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3342,MFR,GStr,MFR+GStr
BIG SLIDE - SHORE 1KM W,QUESNEL LAKE,11493,52.52035078150,-120.93872217800,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3343,MFR,GStr,MFR+GStr
BILL MINER CREEK,BILL MINER CREEK,2419,52.58270209920,-120.55958375000,Stream,100-458399-928132-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-924900-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,45070,MFR,GStr,MFR+GStr
BILL MINER CREEK - SHORE,QUESNEL LAKE,11494,52.58274293520,-120.55992937700,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3344,MFR,GStr,MFR+GStr
BILL MINER CREEK - SHORE 3KM W,QUESNEL LAKE,11495,52.57322674360,-120.60918081600,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3345,MFR,GStr,MFR+GStr
BLUE LEAD CREEK,BLUE LEAD CREEK,2422,52.61490206730,-120.38430720100,Stream,100-458399-988239-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-989300-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,45073,MFR,GStr,MFR+GStr
BLUE LEAD CREEK - SHORE,QUESNEL LAKE,11496,52.61489844870,-120.38148596300,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3346,MFR,GStr,MFR+GStr
BOULDERY CREEK,BOULDERY CREEK,2415,52.51079090220,-120.68843114500,Stream,100-458399-859988-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-860800-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,45066,MFR,GStr,MFR+GStr
BOULDERY CREEK - SHORE,QUESNEL LAKE,11497,52.51074114110,-120.68887879900,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3347,MFR,GStr,MFR+GStr
BOULDERY CREEK - SHORE 2KM E,QUESNEL LAKE,11498,52.51124676630,-120.68808438000,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3348,MFR,GStr,MFR+GStr
BOWLING POINT,QUESNEL LAKE,11516,52.71909643070,-120.86609526700,Lake Portion,100-458399-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,160-000000-00000-00000-0000-0000-000-000-000-000-000-000,QUESNEL-SUMMER TIMING,SEL-06-10,SEL,Current,3366,MFR,GStr,MFR+GStr
